site,description
http://www.pasteurlab.com/,Pasteur
http://www.valledellili.org/,Fundación Valle del Lili
http://www.fsfb.org.co/wps/portal/fsfb/inicio/servicioensalud/,Fundación Santa Fé de Bogotá
http://www.imbanaco.com/,Centro Médico Imbanaco
https://www.hptu.org.co/,Hospital Pablo Tobon Uribe
http://www.cardioinfantil.org/index.php/apoyo-diagnostico-ambulatorio-172/laboratorio-clinico,Fundacion Cardio Infantil
http://hospitaluniversitario.sanvicentefundacion.com/servicios-medicos,Hospital Universitário de San Vicente
https://www.shaio.org/pacientes-y-familia,Fundacion Clinica Shaio
http://www.clinicadelcountry.com/,Clinica del country
http://www.fcv.org/site/,Fundación Cardiovascular de Colombia
