site,description
https://resultados.fleury.com.br/Cliente/Default.aspx,Fleury
http://www.delboniauriemo.com.br/exame/menu-de-exames,Delboni
http://www.lavoisier.com.br/voce/exames/pre-agende-seu-exame,Lavoisier
http://www.fleming-lab.com.br/atendimento/informacoes-sobre-exames#pagina=Lista-de-exames,Fleming
http://www.hc.fm.usp.br/index.php?option=com_content&view=article&id=224&Itemid=267,Hospital das Clinicas
http://clinicafares.com.br/,Clinica Fares
http://www.cedap.com.br/,CEDAP
https://www.einstein.br/exames,Albert Einstein
https://www.sluzia.com.br/orientacao-de-exames/,Santa Luzia
http://carloschagas.com.br/,Carlos Chagas
