site,description
http://www.clinicasantamaria.cl/,Clínica Santa María
https://portal.alemana.cl/wps/wcm/connect/internet/home,Clínica Alemana
http://www.davila.cl/,Clínica Dávila
http://www.clinicaservet.cl/nueva/horas.html,Clínica Servet
http://www.indisa.cl/indisaweb/index.php,Clínica Indisa
http://www.clinicabicentenario.cl/cb/reserva-de-horas/,Clínica Bicentenario
https://www.clinicabupasantiago.cl/,Clínica Bupa
http://www.clinicavespucio.cl/servicios-en-linea/reserva-de-horas/,Clínica Vespucio
http://redsalud.uc.cl/ucchristus/Hospital/ClinicaUC/,Clínica UC
https://www.clinicalascondes.cl/HOME,Clínica Las Condes
http://www.clinicalaslilas.cl/,Clínica Las Lilas
http://www.chp.cl/web-chp/reserva-hora-clinica-chp.html,Clínica Hospital del profesor
http://www.clinicatabancura.cl/,Clínica tabancura
http://www.hospitaldeltrabajador.cl/ht/Comunidad/Paginas/home.aspx,Hospital del trabajador
http://www.clinicalircay.cl/,Clínica Lircay
