site,description
http://www.arcangeles.com.mx,Hospital Arcángeles (Tijuana)
http://www.americashospital.com/es/inicio,Americas Hospital (Guadalajara)
http://www.medicasur.com.mx/,Médica Sur (Ciudad de México)
http://www.hospitalgalenia.com/,Hospital Galenia (Cancún)
http://www.hsj.com.mx/,Hospital San Jose Tec De Monterrey 
http://www.hospitalvelmar.com,Hospital Velmar (Ensenada)
http://www.salutaris.com.mx/,Salutaris Medical Center (Guadalajara)
http://www.hgm.salud.gob.mx/,Hospital General de México (Ciudad de México)
http://www.beneficenciaespanola.com.mx/,Hospital Beneficencia Española de Puebla
http://www.abchospital.com/,Centro Médico ABC (Ciudad de México)
